310223,4,827,16537,-23,-274,88,65,151,-5
310238,6,820,16526,-19,-279,89,63,153,0
310252,18,823,16532,-26,-281,86,60,154,0
310266,26,826,16531,-15,-277,86,62,152,-3
310280,20,828,16537,-20,-280,84,60,151,-4
310294,19,827,16546,-23,-277,89,61,153,-5
310308,23,821,16534,-13,-279,89,64,149,0
310322,19,826,16542,-20,-282,86,64,154,-5
310336,14,828,16529,-14,-278,86,63,156,-7
310350,17,826,16517,-18,-280,84,63,155,-5
310364,15,816,16546,-13,-275,83,63,152,-4
310378,21,817,16531,-15,-279,80,63,151,-2
310392,24,822,16540,-14,-278,85,64,154,-3
310406,33,825,16538,-20,-273,83,63,154,-6
310420,19,826,16528,-18,-277,82,62,149,-5
310434,21,822,16525,-15,-280,83,61,153,-7
310448,22,834,16527,-22,-279,88,67,148,-5
310462,29,832,16519,-18,-276,83,67,154,-5
310476,21,821,16536,-22,-281,88,64,155,-7
310490,17,820,16536,-18,-277,82,63,154,-6
310504,20,827,16537,-17,-282,80,63,156,-2
310518,21,822,16537,-12,-278,85,63,152,-1
310532,18,817,16530,-17,-277,85,66,154,-4
310546,22,819,16529,-18,-275,86,68,152,-3
310560,24,825,16541,-13,-278,85,66,149,-3
310574,27,818,16534,-15,-280,84,64,151,-3
310588,14,817,16529,-21,-279,87,65,153,-4
310602,20,828,16529,-16,-277,84,68,154,-3
310616,25,826,16533,-19,-280,92,66,152,-5
310630,21,820,16530,-22,-278,86,65,152,-3
310644,20,819,16532,-16,-275,87,64,151,-2
310658,24,815,16533,-22,-272,86,65,152,-4
310672,26,823,16538,-17,-278,88,66,151,-6
310686,21,816,16540,-18,-273,77,68,152,-6
310700,21,819,16526,-17,-277,86,63,151,-8
310714,25,825,16525,-21,-281,89,62,151,-6
310728,25,827,16527,-18,-277,86,64,154,-6
310742,24,821,16532,-23,-278,84,64,152,-6
310756,18,826,16535,-22,-279,87,62,149,-9
310770,20,821,16529,-19,-274,85,63,147,-6
310784,25,818,16533,-18,-282,84,63,148,-7
310798,13,829,16528,-13,-279,87,64,153,-8
310812,3,824,16531,-10,-275,86,66,151,-7
310826,23,827,16525,-17,-278,83,66,150,-4
310840,20,830,16524,-14,-277,81,66,152,-6
310854,19,830,16531,-15,-278,84,63,151,-8
310868,13,827,16530,-18,-281,85,68,153,-7
310882,26,826,16527,-18,-279,83,66,153,-6
310896,22,821,16527,-20,-278,89,68,152,-2
310910,21,820,16528,-17,-278,84,68,151,-2
310924,28,821,16521,-20,-280,83,64,154,-10
310938,26,824,16520,-16,-278,82,68,154,-9
310952,19,825,16516,-19,-279,83,68,153,-6
310966,23,827,16532,-17,-279,87,70,149,-5
310980,17,825,16531,-16,-278,83,68,148,-5
310994,15,823,16516,-19,-283,85,65,153,-6
311008,12,819,16524,-19,-278,84,64,153,-4
311022,8,820,16529,-15,-273,92,66,151,-1
311036,15,822,16530,-19,-278,88,63,150,-2
311050,20,830,16538,-15,-276,81,62,150,-1
311064,26,830,16533,-14,-277,80,66,153,-7
311078,23,825,16533,-11,-280,82,65,154,-3
311092,9,820,16533,-18,-282,83,66,154,-4
311106,17,819,16529,-14,-278,83,64,151,-3
311120,21,825,16522,-18,-279,89,62,151,-3
311134,31,827,16525,-21,-282,85,66,148,-3
311148,20,832,16524,-19,-280,81,64,149,-6
311162,18,828,16526,-14,-279,83,65,152,-6
311176,17,818,16531,-21,-280,86,63,152,-2
311190,13,813,16531,-19,-285,87,63,154,-3
311204,24,814,16535,-16,-278,83,66,153,-6
311218,24,819,16535,-16,-277,85,65,155,-7
311232,29,816,16526,-22,-281,86,66,154,-5
311246,24,813,16531,-20,-278,80,66,155,-6
311260,11,828,16537,-19,-280,84,67,155,-4
311274,13,823,16530,-18,-280,89,65,151,-7
311288,9,823,16532,-19,-276,86,66,155,-7
311302,16,827,16519,-17,-281,82,65,152,-7
311316,24,827,16531,-16,-277,81,66,148,-7
311330,22,833,16534,-15,-281,82,66,151,-6
311344,20,818,16537,-19,-279,84,67,152,-4
311358,19,819,16539,-18,-280,83,62,153,-2
311372,16,831,16532,-22,-280,89,65,151,-6
311386,11,832,16535,-14,-279,85,62,152,-6
311400,24,821,16525,-19,-279,86,61,151,-8
311414,21,825,16537,-20,-279,80,66,151,-7
311428,18,827,16532,-19,-279,86,65,152,-5
311442,27,826,16536,-21,-278,85,68,152,-4
311456,14,815,16545,-17,-278,91,65,153,-5
311470,21,822,16542,-19,-275,89,65,153,-1
311484,18,820,16539,-18,-278,87,65,149,-6
311498,21,824,16537,-20,-275,87,67,154,-8
311512,23,818,16524,-17,-278,85,65,154,-5
311526,11,825,16524,-18,-278,90,66,152,-6
311540,10,803,16526,-17,-276,91,66,151,-6
311554,27,817,16537,-19,-280,87,67,153,-2
311568,12,830,16534,-13,-276,91,67,153,-5
311582,20,820,16538,-21,-277,88,65,151,-4
311596,23,817,16554,-15,-278,86,67,152,-5
311610,20,827,16548,-17,-275,86,65,151,-3
